match_id,break_number,half,fixture,home,away,start_minute,disruption,percentile,n_candidates,has_claim,stage,cell
50,1,H1,South Africa v South Korea,South Africa,South Korea,23,1,27.77777777777778,18,False,Group Stage,true_null
50,2,H2,South Africa v South Korea,South Africa,South Korea,69,1,71.42857142857143,7,False,Group Stage,mid
51,1,H1,Switzerland v Canada,Switzerland,Canada,23,1,47.368421052631575,19,False,Group Stage,true_null
51,2,H2,Switzerland v Canada,Switzerland,Canada,71,0,85.71428571428571,7,False,Group Stage,hidden_effect
52,1,H1,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina,Qatar,23,0,18.181818181818183,11,False,Group Stage,true_null
52,2,H2,Bosnia and Herzegovina v Qatar,Bosnia and Herzegovina,Qatar,69,5,100.0,15,False,Group Stage,hidden_effect
53,1,H1,Scotland v Brazil,Scotland,Brazil,25,3,93.75,16,False,Group Stage,hidden_effect
53,2,H2,Scotland v Brazil,Scotland,Brazil,68,0,18.181818181818183,11,False,Group Stage,true_null
54,1,H1,Morocco v Haiti,Morocco,Haiti,23,1,66.66666666666666,12,False,Group Stage,mid
54,2,H2,Morocco v Haiti,Morocco,Haiti,68,6,100.0,11,False,Group Stage,hidden_effect
55,1,H1,Türkiye v USA,Türkiye,USA,23,0,0.0,6,False,Group Stage,true_null
55,2,H2,Türkiye v USA,Türkiye,USA,67,6,100.0,18,False,Group Stage,hidden_effect
56,1,H1,Paraguay v Australia,Paraguay,Australia,24,1,84.21052631578947,19,False,Group Stage,hidden_effect
56,2,H2,Paraguay v Australia,Paraguay,Australia,68,1,50.0,18,False,Group Stage,true_null
57,1,H1,Ecuador v Germany,Ecuador,Germany,27,0,71.42857142857143,14,False,Group Stage,mid
57,2,H2,Ecuador v Germany,Ecuador,Germany,69,2,100.0,12,False,Group Stage,hidden_effect
58,1,H1,Curaçao v Côte d'Ivoire,Curaçao,Côte d'Ivoire,23,2,100.0,16,False,Group Stage,hidden_effect
58,2,H2,Curaçao v Côte d'Ivoire,Curaçao,Côte d'Ivoire,68,4,100.0,7,False,Group Stage,hidden_effect
59,1,H1,Tunisia v Netherlands,Tunisia,Netherlands,23,2,56.25,16,False,Group Stage,mid
59,2,H2,Tunisia v Netherlands,Tunisia,Netherlands,69,3,100.0,6,False,Group Stage,hidden_effect
60,1,H1,Japan v Sweden,Japan,Sweden,24,1,66.66666666666666,18,False,Group Stage,mid
60,2,H2,Japan v Sweden,Japan,Sweden,68,1,14.285714285714285,7,False,Group Stage,true_null
61,1,H1,New Zealand v Belgium,New Zealand,Belgium,24,1,33.33333333333333,12,False,Group Stage,true_null
61,2,H2,New Zealand v Belgium,New Zealand,Belgium,69,4,66.66666666666666,15,False,Group Stage,mid
62,1,H1,Egypt v IR Iran,Egypt,IR Iran,23,2,66.66666666666666,9,False,Group Stage,mid
62,2,H2,Egypt v IR Iran,Egypt,IR Iran,69,2,78.94736842105263,19,False,Group Stage,mid
63,1,H1,Uruguay v Spain,Uruguay,Spain,23,3,100.0,18,False,Group Stage,hidden_effect
63,2,H2,Uruguay v Spain,Uruguay,Spain,68,0,57.89473684210527,19,False,Group Stage,mid
