team,player,minute,direction,source,match_id
Czechia,Patrik SCHICK,64,on,pdf_marker,49
Czechia,Lukas PROVOD,56,on,pdf_marker,49
Czechia,Tomas CHORY,87,on,pdf_marker,49
Czechia,Tomas SOUCEK,64,on,pdf_marker,49
Czechia,Alexandr SOJKA,87,on,pdf_marker,49
Mexico,Raul RANGEL,78,off,pdf_marker,49
Mexico,Luis ROMO,63,off,pdf_marker,49
Mexico,Gilberto MORA,72,off,pdf_marker,49
Mexico,Mateo CHAVEZ,78,off,pdf_marker,49
Mexico,Guillermo MARTINEZ,63,off,pdf_marker,49
Mexico,Guillermo OCHOA,78,on,pdf_marker,49
Mexico,Alvaro FIDALGO,72,on,pdf_marker,49
Mexico,Santiago GIMENEZ,63,on,pdf_marker,49
Mexico,Obed VARGAS,63,on,pdf_marker,49
Mexico,Jesus GALLARDO,78,on,pdf_marker,49
South Africa,Oswin APPOLLIS,62,off,pdf_marker,50
South Africa,Relebohile MOFOKENG,80,off,pdf_marker,50
South Africa,Thapelo MASEKO,75,off,pdf_marker,50
South Africa,Tshepang MOREMI,62,on,lineup_derived,50
South Africa,Iqraam RAYNERS,75,on,pdf_marker,50
South Africa,Jayden ADAMS,80,on,pdf_marker,50
South Korea,KIM Minjae,65,off,pdf_marker,50
South Korea,PAIK Seungho,45,off,pdf_marker,50
South Korea,LEE Taeseok,45,off,pdf_marker,50
South Korea,OH Hyeongyu,74,off,pdf_marker,50
South Korea,CHO Guesung,74,on,pdf_marker,50
South Korea,PARK Jinseob,65,on,pdf_marker,50
South Korea,CASTROP Jens,45,on,pdf_marker,50
South Korea,KIM Jingyu,45,on,pdf_marker,50
South Korea,Heung Min Son,46,on,lineup_derived,50
South Korea,Hee Chan Hwang,46,off,lineup_derived,50
Switzerland,Breel EMBOLO,85,off,pdf_marker,51
Switzerland,Johan MANZAMBI,85,off,pdf_marker,51
Switzerland,Djibril SOW,74,off,pdf_marker,51
Switzerland,Ruben VARGAS,80,off,pdf_marker,51
Switzerland,Luca JAQUEZ,74,off,pdf_marker,51
Switzerland,Dan NDOYE,80,on,pdf_marker,51
Switzerland,Christian FASSNACHT,85,on,pdf_marker,51
Switzerland,Michel AEBISCHER,74,on,pdf_marker,51
Switzerland,Cedric ITTEN,85,on,pdf_marker,51
Canada,Mathieu CHOINIERE,58,off,pdf_marker,51
