match_id,sofascore_id,break_number,half,stage,start_minute,manifest_start,manifest_end,duration_display_min,band_quality,commentary_minute,n_commentary,timing_consistent,margin,leadside,orient,pre_level,pre_slope,post_level,wbgt,tempC,local_hour,elo_home,elo_away,elo_gap_or,unit
65,15186537,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,2,away,-1,14.8,-4.3,17.8,25.6,22.8,15,1951.0,2090.0,139.0,T15186537_68
66,15186771,1,H1,GRP,23,23.0,26.0,3.0,ok,,,True,1,home,1,8.6,-6.9,5.2,23.7,20.3,15,1817.0,1586.0,231.0,T15186771_23
66,15186771,2,H2,GRP,67,67.0,69.0,2.0,ok,,,True,3,home,1,50.6,18.3,15.0,23.7,20.3,15,1817.0,1586.0,231.0,T15186771_67
67,15186734,1,H1,GRP,23,23.0,25.0,2.0,ok,,,True,1,away,-1,37.2,-5.3,31.2,31.9,32.3,21,1628.0,2148.0,520.0,T15186734_23
67,15186734,2,H2,GRP,68,68.0,70.0,2.0,ok,,,True,1,away,-1,40.0,4.6,17.6,31.9,32.3,21,1628.0,2148.0,520.0,T15186734_68
68,15186747,1,H1,GRP,23,23.0,71.0,,implausible_end,,,True,0,level,-1,10.0,9.1,8.8,30.1,27.0,21,1785.0,1836.0,51.0,T15186747_23
68,15186747,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,0.2,-10.5,-13.4,30.1,27.0,21,1785.0,1836.0,-51.0,T15186747_68
69,15186696,1,H1,GRP,25,25.0,28.0,3.0,ok,,,True,0,level,-1,1.6,-3.7,4.4,33.8,30.8,19,2006.0,1988.0,-18.0,T15186696_25
69,15186696,2,H2,GRP,68,68.0,71.0,3.0,ok,,,True,0,level,1,25.8,0.7,40.6,33.8,30.8,19,2006.0,1988.0,18.0,T15186696_68
70,15186717,1,H1,GRP,23,23.0,55.0,,implausible_end,,,True,1,away,-1,-7.8,9.4,-1.4,31.7,31.6,19,1666.0,1677.0,11.0,T15186717_23
70,15186717,2,H2,GRP,70,70.0,72.0,2.0,ok,,,True,0,level,1,6.6,12.0,30.0,31.7,31.6,19,1666.0,1677.0,-11.0,T15186717_70
71,15186676,1,H1,GRP,23,23.0,50.0,,implausible_end,,,True,0,level,-1,31.8,-8.8,-2.4,25.0,21.5,17,1668.0,2028.0,360.0,T15186676_23
71,15186676,2,H2,GRP,69,69.0,72.0,3.0,ok,,,True,2,away,-1,20.4,-1.4,24.6,25.0,21.5,17,1668.0,2028.0,360.0,T15186676_69
72,15186624,1,H1,GRP,25,25.0,29.0,4.0,ok,,,True,0,level,1,20.0,-4.0,-3.8,25.2,21.0,17,1896.0,1584.0,312.0,T15186624_25
72,15186624,2,H2,GRP,69,69.0,71.0,2.0,ok,,,True,1,home,1,2.6,-12.3,-25.2,25.2,21.0,17,1896.0,1584.0,312.0,T15186624_69
73,12813000,1,H1,KO,23,,,,no_band,23.0,103.0,True,0,level,-1,22.8,2.0,2.4,22.0,20.9,12,1575.0,1748.0,173.0,T12813000_23
73,12813000,2,H2,KO,67,,,,no_band,67.0,103.0,True,0,level,1,7.8,-5.2,-17.0,22.0,20.9,12,1575.0,1748.0,-173.0,T12813000_67
74,12813012,1,H1,KO,23,,,,no_band,23.0,91.0,True,0,level,1,4.8,9.2,7.2,37.2,34.3,12,2009.0,1910.0,99.0,T12813012_23
74,12813012,2,H2,KO,68,,,,no_band,68.0,91.0,True,0,level,1,10.2,-4.2,29.0,37.2,34.3,12,2009.0,1910.0,99.0,T12813012_68
75,12813014,1,H1,KO,23,,,,no_band,23.0,173.0,True,0,level,1,32.4,3.9,19.0,28.6,28.6,16,1916.0,1815.0,101.0,T12813014_23
75,12813014,2,H2,KO,70,,,,no_band,70.0,173.0,True,0,level,1,21.4,7.7,-0.8,28.6,28.6,16,1916.0,1815.0,101.0,T12813014_70
76,12812998,1,H1,KO,22,,,,no_band,22.0,143.0,True,0,level,-1,13.0,23.8,33.2,30.3,32.2,19,1971.0,1886.0,-85.0,T12812998_22
76,12812998,2,H2,KO,67,,,,no_band,67.0,143.0,True,0,level,-1,43.8,-4.4,13.8,30.3,32.2,19,1971.0,1886.0,-85.0,T12812998_67
77,12812989,1,H1,KO,24,,,,no_band,24.0,90.0,True,0,level,1,9.0,-3.4,3.2,32.9,32.0,12,1743.0,1918.0,-175.0,T12812989_24
77,12812989,2,H2,KO,68,,,,no_band,68.0,90.0,True,1,away,-1,-30.0,2.3,18.2,32.9,32.0,12,1743.0,1918.0,175.0,T12812989_68
78,12812995,1,H1,KO,23,,,,no_band,23.0,114.0,True,0,level,1,13.8,-9.7,-0.4,29.8,32.5,17,2123.0,1742.0,381.0,T12812995_23
78,12812995,2,H2,KO,68,,,,no_band,68.0,114.0,True,2,home,1,34.4,-5.4,4.0,29.8,32.5,17,2123.0,1742.0,381.0,T12812995_68
79,12813001,1,H1,KO,25,,,,no_band,25.0,110.0,True,1,home,1,0.8,2.9,16.8,18.6,15.1,20,1943.0,1871.0,72.0,T12813001_25
